h,k,d,F
13.265306122448983,-50.0,30,1.0375559443769173e-06
13.265306122448983,-50.0,35,1.0380913961049734e-06
13.265306122448983,-50.0,40,1.0198295410670715e-06
13.265306122448983,-50.0,45,9.898006453518437e-07
13.265306122448983,-50.0,50,9.526590882841891e-07
13.265306122448983,-50.0,55,9.115287576300547e-07
13.265306122448983,-50.0,60,8.685236924951067e-07
13.265306122448983,-50.0,65,8.250768212208689e-07
13.265306122448983,-50.0,70,7.821532035749243e-07
13.265306122448983,-50.0,75,7.40391967475213e-07
13.265306122448983,-50.0,80,7.002030013680958e-07
15.306122448979593,-50.0,10,5.306843246498712e-07
15.306122448979593,-50.0,15,7.787729409227797e-07
15.306122448979593,-50.0,20,9.249814180757635e-07
15.306122448979593,-50.0,25,9.998453895420843e-07
15.306122448979593,-50.0,30,1.0288504637401429e-06
15.306122448979593,-50.0,35,1.0287745414382308e-06
15.306122448979593,-50.0,40,1.0103412212731097e-06
15.306122448979593,-50.0,45,9.804761809046652e-07
15.306122448979593,-50.0,50,9.437301788171543e-07
15.306122448979593,-50.0,55,9.031394729113131e-07
15.306122448979593,-50.0,60,8.60750657331557e-07
15.306122448979593,-50.0,65,8.179481614129571e-07
15.306122448979593,-50.0,70,7.75664162326547e-07
15.306122448979593,-50.0,75,7.345168419809639e-07
15.306122448979593,-50.0,80,6.949038074309421e-07
17.34693877551021,-50.0,10,5.282197298300913e-07
17.34693877551021,-50.0,15,7.739692795716918e-07
17.34693877551021,-50.0,20,9.178815269196326e-07
17.34693877551021,-50.0,25,9.908954415673876e-07
17.34693877551021,-50.0,30,1.0186629401463964e-06
17.34693877551021,-50.0,35,1.0179523432637513e-06
17.34693877551021,-50.0,40,9.993862454666437e-07
17.34693877551021,-50.0,45,9.697614933307107e-07
17.34693877551021,-50.0,50,9.335074748756706e-07
17.34693877551021,-50.0,55,8.935609933635723e-07
17.34693877551021,-50.0,60,8.518938023591838e-07
17.34693877551021,-50.0,65,8.098374544211504e-07
17.34693877551021,-50.0,70,7.682888253332074e-07
17.34693877551021,-50.0,75,7.278439691863399e-07
17.34693877551021,-50.0,80,6.888877955750927e-07
19.387755102040813,-50.0,10,5.252473772061556e-07
19.387755102040813,-50.0,15,7.6823700422627e-07
19.387755102040813,-50.0,20,9.095077746479632e-07
19.387755102040813,-50.0,25,9.804584520641878e-07
19.387755102040813,-50.0,30,1.0069013109004932e-06
19.387755102040813,-50.0,35,1.0055623975140008e-06
19.387755102040813,-50.0,40,9.869286162816415e-07
19.387755102040813,-50.0,45,9.576411141764615e-07
19.387755102040813,-50.0,50,9.219900032338795e-07
